# Earth impactors and the warning time we actually had.
#
# Two row kinds:
#   detected_before_impact = true  -> every asteroid EVER spotted before it hit (warning in HOURS).
#   detected_before_impact = false -> notable MISSED impactors, kept as reference (warning = 0).
#
# warning_hours are APPROXIMATE, as reported in NASA/ESA/IAU announcements at the time.
# The project's live feature recomputes these independently from raw MPC discovery observations;
# this seed set makes the ledger runnable and verifiable offline. Times are UTC.
# blindspot codes: sunward | long_period_comet | interstellar | short_arc | none
designation,kind,impact_utc,detected_before_impact,warning_hours,blindspot,location,source
2008 TC3,asteroid,2008-10-07T02:46:00Z,true,19,short_arc,Nubian Desert (Sudan),https://cneos.jpl.nasa.gov/
2014 AA,asteroid,2014-01-02T03:02:00Z,true,21,short_arc,Atlantic Ocean,https://cneos.jpl.nasa.gov/
2018 LA,asteroid,2018-06-02T16:44:00Z,true,8,short_arc,Botswana,https://cneos.jpl.nasa.gov/news/news198.html
2019 MO,asteroid,2019-06-22T21:25:00Z,true,12,short_arc,Caribbean Sea,https://cneos.jpl.nasa.gov/
2022 EB5,asteroid,2022-03-11T21:22:00Z,true,2,short_arc,Norwegian Sea,https://cneos.jpl.nasa.gov/news/news207.html
2022 WJ1,asteroid,2022-11-19T08:27:00Z,true,3.5,short_arc,Lake Ontario (Canada/US),https://cneos.jpl.nasa.gov/
2023 CX1,asteroid,2023-02-13T02:59:00Z,true,7,short_arc,northern France,https://www.esa.int/Space_Safety/Planetary_Defence/
2024 BX1,asteroid,2024-01-21T00:32:00Z,true,3,short_arc,near Berlin (Germany),https://www.esa.int/Space_Safety/Planetary_Defence/Asteroid_2024_BX1_spotted_three_hours_before_impact
2024 RW1,asteroid,2024-09-04T16:39:00Z,true,8,short_arc,Luzon (Philippines),https://cneos.jpl.nasa.gov/
2024 UQ,asteroid,2024-10-22T10:54:00Z,true,2,short_arc,Pacific Ocean,https://cneos.jpl.nasa.gov/
2024 XA1,asteroid,2024-12-03T16:15:00Z,true,12,short_arc,Sakha (Siberia),https://www.esa.int/Space_Safety/Planetary_Defence/
Chelyabinsk,asteroid,2013-02-15T03:20:00Z,false,0,sunward,Chelyabinsk Oblast (Russia),https://en.wikipedia.org/wiki/Chelyabinsk_meteor
Tunguska,asteroid,1908-06-30T00:14:00Z,false,0,none,Tunguska (Siberia),https://en.wikipedia.org/wiki/Tunguska_event
